Gambar Produk,Nama Produk,Harga Produk,Rating Produk,Terjual,Link Produk
https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/2/29/d28079df-037a-4c4f-9d2c-f7bf53f60131.jpg.webp?ect=4g,Emina Bright Stuff Face Toner - Toner Wajah Cerah Glowing,Rp19.000,5.0,10rb+ terjual,https://www.tokopedia.com/emina-official/emina-bright-stuff-face-toner-toner-wajah-cerah-glowing-50-ml?extParam=ivf%3Dfalse%26keyword%3Dtoner+skincare%26search_id%3D202411151612510093630424D1A42E6W4A%26shop_tier%3D2%26src%3Dsearch
https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/5/13/2874b0a3-bf17-44bb-b062-c1206f2ef48b.jpg.webp?ect=4g,COSRX Full Fit Propolis Synergy Toner Skin Care 50ML (U/ Kulit Kusam),Rp87.200,5.0,500+ terjual,https://www.tokopedia.com/cosrxindonesia/cosrx-full-fit-propolis-synergy-toner-skin-care-50ml-u-kulit-kusam?extParam=cmp%3D1%26ivf%3Dfalse%26keyword%3Dtoner+skincare%26search_id%3D202411151612510093630424D1A42E6W4A%26shop_tier%3D2%26src%3Dsearch
https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/10/28/4956f0a0-b174-4111-9a37-7fb9cde434f5.jpg.webp?ect=4g,Bundle Erha21 Erha 1 & Erha 3 - Sabun & Toner Wajah Kulit Kering,Rp109.200,4.9,1rb+ terjual,https://www.tokopedia.com/erha-store/bundle-erha21-erha-1-erha-3-sabun-toner-wajah-kulit-kering?extParam=cmp%3D1%26ivf%3Dfalse&src=topads
https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/11/16/d2c04310-d7cd-4f5d-a8e1-72d7d2b2966d.png.webp?ect=4g,Dear Klairs Supple Preparation Unscented Toner 180ml,Rp238.915,5.0,2rb+ terjual,https://www.tokopedia.com/klairsid/dear-klairs-supple-preparation-unscented-toner-180ml?extParam=ivf%3Dtrue&src=topads
https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/24/00cbf858-9be4-4f11-939b-07211fd8bd0b.png.webp?ect=4g,Toner wajah Skin Dewi Calming Dew Rose Toner 150 gr,Rp445.500,5.0,500+ terjual,https://www.tokopedia.com/skindewi/toner-wajah-skin-dewi-calming-dew-rose-toner-150-gr?extParam=ivf%3Dfalse&src=topads
https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/7/25/45b97c68-f309-46ef-b929-57a1fe1a9794.jpg.webp?ect=4g,BHUMI Resurface Mild Exfoliating Toner,Rp184.300,4.9,750+ terjual,https://www.tokopedia.com/bhumiofficial/bhumi-resurface-mild-exfoliating-toner?extParam=ivf%3Dtrue&src=topads
https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/6/28/ca10f9ad-1d6a-4470-93d2-3d8110f18279.jpg.webp?ect=4g,Estetiderma - Toner Wajah Clarifying Daily Toner,No price,5.0,1rb+ terjual,https://www.tokopedia.com/estetiderma/estetiderma-toner-wajah-clarifying-daily-toner?extParam=ivf%3Dfalse&src=topads
https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/24/ed1ece59-657a-4723-8244-e187a993107c.jpg.webp?ect=4g,"SOMETHINC Toner Series (Glow Maker, Supple Power, Calm Down, Skin Goals, Acnedot)",Rp59.000,5.0,1rb+ terjual,https://www.tokopedia.com/somethinc/somethinc-toner-series-glow-maker-supple-power-calm-down-skin-goals-acnedot-glow-maker-40ml-59fbb?extParam=ivf%3Dfalse%26keyword%3Dtoner+skincare%26search_id%3D202411151612510093630424D1A42E6W4A%26shop_tier%3D2%26src%3Dsearch
https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/7/26/82c31ca8-95fa-4657-b117-acb69b800a5d.jpg.webp?ect=4g,Autumn 5% NIA – HYA Whitening Toner Badan & Wajah Brightening Toner Face Toner,No price,5.0,60+ terjual,https://www.tokopedia.com/dkmall/autumn-5-nia-hya-whitening-toner-badan-wajah-brightening-toner-face-toner?extParam=ivf%3Dfalse%26keyword%3Dtoner+skincare%26search_id%3D202411151612510093630424D1A42E6W4A%26shop_tier%3D2%26src%3Dsearch
https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/10/2/a04896cf-46df-41dd-8fb0-27b0b6d1e77b.jpg.webp?ect=4g,Labore GentleBiome Hydration Toner 100ml - Toner untuk Melembabkan Wajah Pada Kulit Sensitif (Mengandung Non-comedogenic & Non-Acnegenic),Rp127.890,5.0,1rb+ terjual,https://www.tokopedia.com/laboreofficial/labore-gentlebiome-hydration-toner-100ml-toner-untuk-melembabkan-wajah-pada-kulit-sensitif-mengandung-non-comedogenic-non-acnegenic?extParam=ivf%3Dtrue%26keyword%3Dtoner+skincare%26search_id%3D202411151612510093630424D1A42E6W4A%26shop_tier%3D2%26src%3Dsearch%26whid%3D12168306
